Epoch,Total_Loss,Classifier_Loss,Box_Loss,Objectness_Loss,RPN_Box_Loss,Precision,Recall,mAP_50,mAP
0,0.3047395881776716,0.09355881138175141,0.11459038287455983,0.06613449105883346,0.030455902300994184,0.8328041892564022,0.8433008511840488,0.8917031255021532,0.4099684603707813
1,0.19089803231113098,0.04561758994617883,0.11357310377791816,0.01542186412010707,0.01628547556260053,0.9364035240778064,0.9538174021568919,0.9776776012159267,0.49134865099715064
2,0.184006394562768,0.04370862986965507,0.11502125033853101,0.010754130977005059,0.014522383254313586,0.9570519080398923,0.9615386230469773,0.9861067754754999,0.5584336089558
3,0.1768601073646078,0.041170725544147635,0.11328828188718534,0.008931952743224945,0.013469147025698833,0.9541757590335727,0.9638526013885005,0.9877962908085864,0.5714305664446038
4,0.17006403909010046,0.039675965466920066,0.11034973871474173,0.007756612889066923,0.01228172108348386,0.9570618295840612,0.9639990296980202,0.9886967740375064,0.5876315851421958
5,0.16322488447322564,0.037608824140739204,0.1074018938576474,0.006785072329198467,0.011429093887700754,0.9558250950126519,0.9672646770787691,0.9882849589864628,0.6048071269964048
6,0.16115169197905296,0.03725614422457475,0.10615951334144555,0.006072534695632902,0.011663499279130324,0.9626964253919655,0.9634871124898476,0.9888716582012964,0.5893564879417947
7,0.15463869222531132,0.03551156749474067,0.10280044508330963,0.005763958788056876,0.010562721932051228,0.9658408830618955,0.96306448250253,0.9900907770972368,0.6102740837477326
8,0.15019458663814209,0.03473901282995939,0.10029952724774678,0.0050823369346486005,0.01007370910990764,0.9727678286947574,0.9696837955581892,0.9901690381312656,0.5773764785004839
9,0.14149685554644642,0.032656107481349915,0.09448076003030234,0.004885539081513735,0.00947444879121202,0.9683774466805819,0.9676201079596511,0.9903768275746113,0.6162644496048445
10,0.13891060942528294,0.03129596398303322,0.0938950216068941,0.004708061855304621,0.009011561754068323,0.9706343512113097,0.9666705490354538,0.9876874790298208,0.5978087618921035
11,0.13001464066260002,0.029578464744868232,0.08773168322502398,0.004090447535774871,0.008614044673010414,0.9711691437688179,0.9679784635979586,0.9910644905655616,0.6077972827609155
12,0.11914784497782296,0.026704799566490977,0.08080731394390266,0.003925412311218679,0.007710319957421983,0.969898183034839,0.9617350783046091,0.9888625977343929,0.5924270198730996
13,0.11717023897696943,0.026669447036350474,0.07947966587894104,0.0034866264026027684,0.007534500047126237,0.9703047884765289,0.964142030441798,0.9900639850892452,0.5937536400567737
14,0.10688802168941965,0.02442629244543758,0.07194882339122248,0.0036927663171024737,0.006820138831458548,0.9690088317472281,0.9613079481160796,0.9901273288262722,0.5982717905584867
15,0.09982548142765083,0.022779041882969586,0.06693703060348828,0.003607957330578025,0.006501452177854292,0.9724286750919189,0.9643479911905004,0.9906348534776483,0.6138754186177409
16,0.09149357508502755,0.021448515985599336,0.060852522943534104,0.0031165973118999425,0.006075938654533934,0.9697975612975868,0.9612817805314791,0.9884339201137552,0.6049143107720434
17,0.084068834562512,0.0198869752405467,0.05570735753166909,0.002953824356618319,0.005520677531831989,0.9722848437224195,0.959495618514329,0.99066901030155,0.6088762205764284
18,0.07890959029250286,0.01859619431015031,0.05228979301218893,0.002865037947034865,0.005158564927257306,0.9713669574229161,0.9575316126412841,0.9892303823129069,0.6149257673457527
19,0.07716776255299063,0.018180832358113692,0.051156621316776556,0.0029202272046092606,0.004910081791618437,0.9653045973326366,0.9694375154729182,0.9897490744444765,0.6103335950347786
20,0.07431125600694441,0.0175119904600376,0.049558019265532494,0.0027118628118735027,0.004529383391890602,0.974925507447885,0.9632138635019909,0.991284151167487,0.6051722582334739
21,0.06875801656176062,0.016734358160665222,0.044973293611524155,0.00266835943444212,0.004382005910955223,0.9723053244693967,0.9608984886903633,0.9895551826529045,0.5995595170356669
22,0.06444323040983256,0.015279202347657844,0.04242726030083848,0.0026177626263519166,0.004119005584952366,0.9703050277793932,0.9683323485774294,0.9895891355265367,0.6061864424265594
23,0.056719319712297586,0.013426250348999804,0.03718833258265958,0.0023242063585248796,0.003780530236077075,0.9702557134389285,0.9623394674334802,0.9903137625287342,0.6055817883537679
24,0.053449641584473497,0.012670287999379285,0.034947721689355137,0.002311127820148078,0.00352050456464948,0.9710659527578822,0.9649025515752574,0.9882495297044531,0.5931407627852866
25,0.050830721891686026,0.012439501275509303,0.03309578799149569,0.0020691122763844974,0.003226320271827646,0.97201951144706,0.9585776467844145,0.9900986052138903,0.5924754707020801
26,0.05226467896764185,0.012324640134751213,0.03438117870074861,0.0023367019765667945,0.0032221583122223176,0.9696427709966584,0.9671189291615037,0.9902480799009762,0.6086853405803708
27,0.047052561469814354,0.011666164477812309,0.030361641600143676,0.0020821851169731576,0.0029425702512026856,0.9692350885353356,0.9580081101922439,0.9868256438809524,0.6077769167798078
28,0.04316719080887589,0.010447790344044859,0.027734686565749785,0.0021677319298260937,0.0028169819703964772,0.9693774713801282,0.9647831838538663,0.9891509959493829,0.6055355433296318
29,0.04008354944195233,0.010040167308248141,0.025513416156172752,0.001888454820408358,0.0026415110869314885,0.9743526652249312,0.9688819866294902,0.9887637241164613,0.606435154664327
30,0.03789008496438756,0.009446795217181538,0.024078548557179814,0.0018171603346583615,0.0025475806032773107,0.973723522770148,0.9645472479046919,0.9881140295244124,0.6090820143112512
31,0.036683893890357484,0.008788371431257795,0.023478265869997295,0.001934641076956063,0.0024826155665020147,0.9740415802323755,0.967543440014953,0.9884568444507504,0.6136700070190593
32,0.037312183766534515,0.009147193638936561,0.023879978477078324,0.0018812761828645736,0.002403735604328925,0.9747401345780277,0.961881461540236,0.987600609192655,0.6021460662013243
33,0.03615123966672257,0.008864278900528363,0.023147066963800027,0.0018416761991901177,0.002298217471095496,0.9718369303615338,0.9615509782996519,0.9905373229599881,0.6038283770773776
34,0.03824984221993124,0.009199506744705871,0.02493245981852798,0.0017916995560631668,0.0023261759631043556,0.9709415330162484,0.9651874245434611,0.987028582851022,0.6027500755444797
35,0.03459121907750765,0.008211254274618685,0.022536298123133534,0.0016079260134503391,0.0022357408534826747,0.9724937036227768,0.9615309049447501,0.9867182439832689,0.6130460001388539
36,0.03197134967309003,0.008023012758177869,0.02015325805975818,0.0016428341466463263,0.002152244723630229,0.9752415792915572,0.9612463655775042,0.9888156101798364,0.6024074627323014
37,0.03386471688966541,0.008148340047245808,0.02182565289823448,0.0018721802227767458,0.002018543729540326,0.9749725235835474,0.9573508730797907,0.990416955051755,0.6042395182914837
38,0.032661195113962774,0.008411510432065995,0.020584525120462858,0.0016860664972245657,0.001979093083326577,0.9722021613831369,0.9614780508449798,0.9856102119518373,0.6096961310505978
39,0.030781933471706567,0.007744162498662869,0.0196892582793154,0.0014353321550480164,0.0019131804515114602,0.9716480652144668,0.9615222472058045,0.9882075733227156,0.6095355857752288
40,0.02824511369872911,0.007332025310389844,0.01777021878161559,0.0013397135594905372,0.0018031560774783,0.9748805249277803,0.9666209149450046,0.9882195144241246,0.6107009644177108
41,0.029135762293841325,0.007401716758442276,0.01835020170455762,0.0015180373915891145,0.0018658064324043545,0.9728806693774291,0.9614918372576773,0.98765087671074,0.6066388146370927
42,0.030082300615807373,0.007546153937594271,0.019242763026233983,0.0013284076222928479,0.001964975862909912,0.9745406358964301,0.9642312812198196,0.9872802633430628,0.6029024869296948
43,0.028812646884105952,0.007128564620335751,0.018541000774312838,0.0013269419230032236,0.0018161396323657577,0.9698623439454223,0.9630128903251174,0.9887587132131617,0.6057628762594967
