               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.030235,            0.011022,           0.0013176,             0.96686,             0.97381,             0.98829,             0.60552,            0.028407,           0.0091352,           0.0013929,            0.006535,            0.006535,            0.006535
                  37,            0.029863,             0.01089,          0.00078066,             0.95519,             0.97198,             0.98738,             0.60825,            0.028315,           0.0091511,           0.0014062,            0.006436,            0.006436,            0.006436
                  38,            0.029705,            0.010871,          0.00092687,             0.96808,             0.97083,             0.98372,             0.60841,            0.028352,           0.0091636,           0.0011847,            0.006337,            0.006337,            0.006337
                  39,            0.029681,            0.010986,          0.00088197,             0.96768,             0.97383,              0.9855,             0.61222,            0.028017,           0.0091567,           0.0011681,            0.006238,            0.006238,            0.006238
                  40,             0.02929,            0.011073,          0.00079916,             0.96024,             0.98471,              0.9858,             0.60657,            0.028483,           0.0091703,           0.0011242,            0.006139,            0.006139,            0.006139
                  41,            0.029325,            0.011016,          0.00079696,             0.96757,             0.97483,             0.98504,             0.60453,            0.028385,           0.0091833,           0.0011196,             0.00604,             0.00604,             0.00604
                  42,            0.029351,            0.011019,           0.0008557,             0.97016,             0.97866,             0.98642,             0.60503,            0.028366,           0.0090514,           0.0011965,            0.005941,            0.005941,            0.005941
                  43,            0.029307,            0.010904,          0.00091887,             0.96956,             0.97396,             0.98631,             0.61121,            0.028152,             0.00912,           0.0012212,            0.005842,            0.005842,            0.005842
                  44,             0.02907,            0.010885,          0.00080729,             0.97184,              0.9741,             0.98618,             0.60195,            0.028531,           0.0091227,            0.001211,            0.005743,            0.005743,            0.005743
                  45,            0.028926,            0.010909,            0.001023,             0.96705,             0.97362,              0.9838,             0.61067,             0.02802,           0.0091483,           0.0011361,            0.005644,            0.005644,            0.005644
                  46,            0.028473,            0.010712,          0.00073772,             0.97222,             0.97329,             0.98684,              0.6107,            0.027911,           0.0090786,           0.0011395,            0.005545,            0.005545,            0.005545
                  47,            0.028994,            0.010916,          0.00080839,             0.95384,             0.97333,             0.98696,             0.61843,            0.028184,           0.0091053,           0.0012533,            0.005446,            0.005446,            0.005446
                  48,            0.029074,             0.01089,          0.00090821,             0.96201,             0.98031,             0.98754,             0.60762,            0.028094,           0.0091221,           0.0012414,            0.005347,            0.005347,            0.005347
                  49,            0.028249,            0.010984,          0.00086576,             0.97061,             0.96624,             0.98581,             0.60975,            0.028304,           0.0091575,           0.0013004,            0.005248,            0.005248,            0.005248
                  50,             0.02853,            0.010724,          0.00071859,             0.97692,             0.97221,             0.98649,             0.61741,            0.027564,           0.0090797,           0.0011443,            0.005149,            0.005149,            0.005149
