Epoch,Total_Loss,Classifier_Loss,Box_Loss,Precision,Recall,mAP_50,mAP
0,6.671021793402877,0.8973315290960611,0.8973315290960611,0.5349493555790263,0.3080445121382612,0.3492820685180507,0.17583469986366748
1,3.279168395435109,0.4294024004655726,0.4294024004655726,0.9554234627739129,0.8300459015808342,0.925731967841112,0.5117941521974158
2,2.5679874864279055,0.3578280753949109,0.3578280753949109,0.9508211916403205,0.9287826478161273,0.9681820402382227,0.5419377275382512
3,2.2263811943577787,0.30873678566194046,0.30873678566194046,0.9452421436319121,0.951959078295274,0.9730060633980776,0.5398440879843749
4,1.9979092782618952,0.2773115202492359,0.2773115202492359,0.9374416829953979,0.9571749683143367,0.9757924523394503,0.5546794371685326
5,1.7971386255002488,0.25309616940862995,0.25309616940862995,0.9312359684782958,0.9563625024569862,0.9647038725789746,0.5281722343489844
6,1.5881443339235641,0.22564340046807832,0.22564340046807832,0.9357952416386878,0.9590843503749034,0.9759567518647614,0.543016201442365
7,1.3719249718329485,0.2091074400380546,0.2091074400380546,0.9443935190830773,0.950001376018472,0.9691800501038716,0.5280048220129931
8,1.1379686266768212,0.1884604639136324,0.1884604639136324,0.9422242423922687,0.9510973863945709,0.9749191028952626,0.5294132588262654
9,0.9340653413651037,0.18043790699220172,0.18043790699220172,0.9371430008964129,0.9530148820047724,0.9756996588220533,0.5425049624672204
10,0.7171730171231663,0.15732973492613025,0.15732973492613025,0.9432412820005898,0.947134855947157,0.970548801092119,0.545221146329943
11,0.5580306801141477,0.14382442590944908,0.14382442590944908,0.9357037890673415,0.9507391103921832,0.9685786867910153,0.5406477878567646
12,0.4432615591030495,0.13104749302945884,0.13104749302945884,0.9407470414414503,0.948269371846057,0.9726988501060315,0.5458399186746937
13,0.325077866368434,0.10575173824441199,0.10575173824441199,0.9329448945248769,0.9388913590945009,0.9671538119890919,0.5511246243709168
14,0.2528330958357044,0.08838848225480202,0.08838848225480202,0.9346485777807563,0.9399601100827498,0.9706381478102923,0.553781898734151
15,0.19665530835296594,0.07206706048957273,0.07206706048957273,0.9288966569157002,0.9354441936422351,0.9662493494792737,0.5532160433140223
16,0.16840650791338846,0.06465378641059585,0.06465378641059585,0.940423093529171,0.938635179857049,0.9707783730500276,0.5519253079117721
17,0.13658209641774496,0.053324191703223715,0.053324191703223715,0.9360818136694972,0.9356052070509961,0.9691467166982295,0.5524902493321588
18,0.1436003732915018,0.05861592687228147,0.05861592687228147,0.9399540555492173,0.9280272288742742,0.9607295574272996,0.548807856856105
19,0.12524433660448767,0.05576298415076499,0.05576298415076499,0.9165651592362691,0.9459805501359828,0.9680223095133582,0.5490058745110944
20,0.1303721550194656,0.05701435985518437,0.05701435985518437,0.935165687920515,0.9422079816308553,0.9640851329691906,0.5534955789759634
21,0.11827999966986039,0.05205105343723998,0.05205105343723998,0.9351106945112467,0.9315291988121441,0.9679043189836608,0.5587697381316638
22,0.09244878630281664,0.041776648485193066,0.041776648485193066,0.920223451329591,0.9292672440493961,0.9645762600959097,0.5528760312588641
23,0.071383332212766,0.03441468635391371,0.03441468635391371,0.939787127912906,0.9423684268993896,0.9667969260121585,0.5613600018972853
24,0.07763689277949286,0.03528940677642822,0.03528940677642822,0.935575771238669,0.936844430148173,0.9638919955426717,0.5621358746659519
25,0.052697008256526554,0.026856061454643223,0.026856061454643223,0.939153606407094,0.9393037758916631,0.9646079521433872,0.5611882988670254
